x,rho,u,p
0.90125000,0.11184844,0.11623000,0.08559868
0.90375000,0.11160631,0.11847001,0.08533961
0.90625000,0.11136541,0.12070260,0.08508208
0.90875000,0.11112572,0.12292781,0.08482607
0.91125000,0.11088723,0.12514570,0.08457156
0.91375000,0.11064993,0.12735632,0.08431853
0.91625000,0.11041382,0.12955971,0.08406698
0.91875000,0.11017887,0.13175593,0.08381689
0.92125000,0.10994509,0.13394499,0.08356825
0.92375000,0.10971246,0.13612695,0.08332104
0.92625000,0.10948098,0.13830182,0.08307527
0.92875000,0.10925064,0.14046964,0.08283091
0.93125000,0.10902143,0.14263042,0.08258795
0.93375000,0.10879336,0.14478418,0.08234640
0.93625000,0.10856640,0.14693095,0.08210623
0.93875000,0.10834056,0.14907074,0.08186744
0.94125000,0.10811583,0.15120356,0.08163002
0.94375000,0.10789220,0.15332943,0.08139396
0.94625000,0.10766967,0.15544837,0.08115926
0.94875000,0.10744825,0.15756037,0.08092590
0.95125000,0.10722791,0.15966545,0.08069388
0.95375000,0.10700867,0.16176362,0.08046319
0.95625000,0.10679051,0.16385490,0.08023382
0.95875000,0.10657344,0.16593928,0.08000576
0.96125000,0.10635747,0.16801678,0.07977901
0.96375000,0.10614259,0.17008740,0.07955357
0.96625000,0.10592881,0.17215115,0.07932941
0.96875000,0.10571616,0.17420803,0.07910653
0.97125000,0.10550464,0.17625804,0.07888494
0.97375000,0.10529430,0.17830116,0.07866462
0.97625000,0.10508519,0.18033734,0.07844557
0.97875000,0.10487739,0.18236647,0.07822781
0.98125000,0.10467102,0.18438834,0.07801133
0.98375000,0.10446627,0.18640258,0.07779618
0.98625000,0.10426340,0.18840856,0.07758242
0.98875000,0.10406282,0.19040535,0.07737013
0.99125000,0.10386512,0.19239176,0.07715944
0.99375000,0.10367124,0.19436525,0.07695059
0.99625000,0.10348266,0.19632156,0.07674403
0.99875000,0.10328283,0.19844927,0.07651989
